# ---
# Dataset courtesy of PF Duc (Department of Physics, McGill University).
# ---
# 1409 set the 1Dhe heater to 20 mA 
# 1801 the pressure is going down linearly but very slowly (maybe linked to 4K plate)
# 1802 set the 1Dhe heater to 15 mA 
# 1.389	6.01e-5	5.754
# 2205 set the 1Dhe heater to 11 mA
# 0000 set the 1DHe heater to be 8mA in 3 hours
# 0823 set the 1DHe heater to 15 mA as the flow didn't raise at last change 
# now the flow kicks up pretty much immediately!
# 1119 set the 1DHe heater to 35 mA
# 1344 put the HS-MC on again and the heater on 1DHe (now both HS are on)
# put more pressure on top of the cell (P4 is now 64.5 psi)
# 1539 started the regeneration of the mass spec and use the turbo on the wall for the time being
#
#C'Time(s)', 'PRESSURE(psi)', 'TEMPERATURE(C)', 'FLOW(mbarl/s)', 'P2(mbar)', '4K flange(K)', 'Still flange(K)', 'T MXC flange(K)', 'T_CH8(K)', 'R_CH8(Ohm)', 'heater(A)', 'dt(s)'
Time  PRESSURE  TEMPERATURE  FLOW  P2  4K_flange  Still_flange  T_MXC_flange  T_CH8  R_CH8  heater  dt
1505153332.271  6.488  22.972  3.61e-05  0.003126  3.68326  3.34678  6.88776  2.07859  0.0  0.0  1.82
1505153353.908  6.487  22.972  3.607e-05  0.003126  3.68326  3.34678  6.88776  2.06931  0.0  0.0  23.63
1505153375.717  6.49  22.969  3.605e-05  0.003126  3.68231  3.34977  6.88776  2.06931  0.0  0.0  45.18
1505153397.261  6.489  22.969  3.605e-05  0.003144  3.68231  3.3455  6.87122  2.06931  0.0  0.0  66.97
1505153419.044  6.475  22.969  3.605e-05  0.003126  3.68231  3.3455  6.86597  2.0297  0.0  0.0  88.52
1505153440.589  6.443  22.967  3.606e-05  0.003126  3.68231  3.3455  6.86597  2.00371  0.0  0.0  110.31
1505153462.398  6.403  22.967  3.608e-05  0.003144  3.66794  3.30896  6.86848  2.00371  0.0  0.0  132.09
1505153484.176  6.369  22.965  3.608e-05  0.003144  3.66794  3.30896  6.8951  2.00371  0.0  0.0  153.64
1505153505.719  6.341  22.965  3.605e-05  0.003144  3.66794  3.30896  6.87812  1.92293  0.0  0.0  175.44
1505153527.528  6.316  22.965  3.602e-05  0.003144  3.65633  3.30896  6.87812  1.90859  0.0  0.0  197.25
1505153549.337  6.292  22.963  3.597e-05  0.003126  3.65633  3.28728  6.81806  1.90859  0.0  0.0  218.81
1505153570.896  6.273  22.963  3.589e-05  0.003126  3.65633  3.28728  6.82195  1.90859  0.0  0.0  240.62
1505153592.705  6.257  22.963  3.58e-05  0.003126  3.65633  3.28728  6.82195  1.83888  0.0  0.0  262.18
1505153614.264  6.242  22.961  3.572e-05  0.003126  3.6496  3.2788  6.82195  1.83259  0.0  0.0  283.99
1505153636.073  6.231  22.958  3.564e-05  0.003144  3.6496  3.27656  6.73561  1.83259  0.0  0.0  305.78
1505153657.866  6.219  22.958  3.558e-05  0.003126  3.6496  3.27656  6.69044  1.8045  0.0  0.0  327.34
1505153679.425  6.209  22.956  3.552e-05  0.003126  3.6496  3.27656  6.69044  1.79432  0.0  0.0  349.17
1505153701.25  6.2  22.958  3.547e-05  0.003144  3.64591  3.26957  6.69044  1.79432  0.0  0.0  370.73
1505153722.809  6.194  22.956  3.542e-05  0.003126  3.64591  3.27288  6.6854  1.79432  0.0  0.0  392.53
1505153744.618  6.185  22.954  3.536e-05  0.003126  3.64591  3.27288  6.70328  1.78224  0.0  0.0  414.09
1505153766.177  6.177  22.954  3.53e-05  0.003126  3.64591  3.27288  6.70328  1.772  0.0  0.0  435.9
1505153787.986  6.173  22.954  3.523e-05  0.003126  3.64155  3.26753  6.70328  1.772  0.0  0.0  457.46
1505153809.545  6.169  22.952  3.516e-05  0.003144  3.64155  3.26753  6.66062  1.772  0.0  0.0  479.26
1505153831.339  6.165  22.949  3.51e-05  0.003126  3.64155  3.26753  6.6799  1.7617  0.0  0.0  500.86
1505153852.945  6.16  22.952  3.505e-05  0.003144  3.64394  3.26753  6.6799  1.75693  0.0  0.0  522.42
1505153874.504  6.157  22.949  3.5e-05  0.003126  3.64018  3.26366  6.60735  1.75693  0.0  0.0  543.98
1505153896.063  6.155  22.949  3.498e-05  0.003126  3.64018  3.26366  6.57485  1.75693  0.0  0.0  565.79
1505153917.872  6.152  22.947  3.497e-05  0.003144  3.64018  3.26366  6.57485  1.74926  0.0  0.0  587.35
1505153939.431  6.15  22.945  3.498e-05  0.003126  3.64071  3.26366  6.57485  1.74742  0.0  0.0  608.91
1505153960.99  6.147  22.945  3.498e-05  0.003144  3.64071  3.25437  6.51701  1.74742  0.0  0.0  630.47
1505153982.55  6.144  22.945  3.497e-05  0.003144  3.64071  3.25437  6.47478  1.73371  0.0  0.0  652.28
1505154004.358  6.143  22.943  3.495e-05  0.003126  3.64071  3.25437  6.47478  1.73217  0.0  0.0  673.87
1505154025.949  6.143  22.941  3.493e-05  0.003144  3.64084  3.2544  6.47478  1.73318  0.0  0.0  695.41
1505154047.493  6.142  22.941  3.492e-05  0.003144  3.64084  3.25231  6.39282  1.73318  0.0  0.0  717.22
1505154069.301  6.142  22.941  3.489e-05  0.003126  3.64084  3.25231  6.39167  1.72374  0.0  0.0  738.78
1505154090.861  6.142  22.941  3.489e-05  0.003144  3.64084  3.25231  6.39167  1.72458  0.0  0.0  760.59
1505154112.669  6.14  22.938  3.491e-05  0.003126  3.63769  3.25304  6.39167  1.72458  0.0  0.0  782.39
1505154134.478  6.139  22.936  3.493e-05  0.003144  3.63769  3.25304  6.38397  1.72458  0.0  0.0  803.95
1505154156.037  6.14  22.936  3.497e-05  0.003144  3.63769  3.25304  6.37137  1.71532  0.0  0.0  825.78
1505154177.862  6.137  22.936  3.501e-05  0.003144  3.63769  3.25304  6.37137  1.71477  0.0  0.0  847.32
1505154199.406  6.136  22.934  3.505e-05  0.003126  3.63976  3.25221  6.37137  1.71477  0.0  0.0  869.12
1505154221.199  6.134  22.932  3.508e-05  0.003126  3.63976  3.25221  6.28637  1.71477  0.0  0.0  890.91
1505154242.992  6.135  22.929  3.51e-05  0.003126  3.63976  3.25221  6.30329  1.70538  0.0  0.0  912.45
1505154264.536  6.134  22.929  3.511e-05  0.003144  3.63874  3.25221  6.30329  1.70875  0.0  0.0  934.25
1505154286.329  6.136  22.929  3.514e-05  0.003144  3.63874  3.24578  6.25089  1.70875  0.0  0.0  955.8
1505154307.888  6.134  22.927  3.516e-05  0.003126  3.63874  3.24578  6.24353  1.70875  0.0  0.0  977.38
1505154329.463  6.134  22.927  3.521e-05  0.003144  3.63874  3.24578  6.24353  1.70306  0.0  0.0  998.94
1505154351.022  6.134  22.927  3.527e-05  0.003126  3.63919  3.25131  6.24353  1.70057  0.0  0.0  1020.5
1505154372.581  6.133  22.925  3.535e-05  0.003144  3.63919  3.25104  6.20453  1.70057  0.0  0.0  1042.06
1505154394.141  6.132  22.923  3.542e-05  0.003144  3.63919  3.25104  6.1564  1.69868  0.0  0.0  1063.88
1505154415.965  6.132  22.923  3.548e-05  0.003126  3.63919  3.25104  6.1564  1.69273  0.0  0.0  1085.46
1505154437.54  6.132  22.923  3.553e-05  0.003144  3.63929  3.24554  6.1564  1.6918  0.0  0.0  1107.28
